account_id,account_name,tier,arr,mrr,pricing_model,owner,csm,segment,status,created_at
ACC-019,NovaMetrics Labs,Starter,29856.96,2488.08,usage-based,Priya Patel,Lisa Chang,SMB,active,2024-09-16T14:00:00
ACC-020,ZenithData Corp,Growth,137937.96,11494.83,usage-based,Ana Rodriguez,Rachel Kim,Mid-Market,active,2023-10-07T14:00:00
ACC-021,SynapseStream Inc,Enterprise,289660.38,24138.37,usage-based,Marcus Johnson,David Park,Enterprise,active,2024-01-07T14:00:00
ACC-022,VertexAnalytics Co,Enterprise,203558.19,16963.18,usage-based,Sarah Chen,Lisa Chang,Enterprise,active,2023-08-23T14:00:00
ACC-023,PolarisData Tech,Enterprise,520240.61,43353.38,usage-based,Ana Rodriguez,Mike Rivera,Enterprise,active,2024-04-27T14:00:00
ACC-024,EchoStream Solutions,Growth,219309.61,18275.8,usage-based,Ana Rodriguez,Tom Bradley,Mid-Market,active,2023-11-07T14:00:00
ACC-025,AtlasFlow Computing,Starter,8390.35,699.2,usage-based,Ana Rodriguez,Tom Bradley,SMB,active,2023-03-31T14:00:00
ACC-026,OrbitalData Inc,Enterprise,235776.09,19648.01,usage-based,James Wilson,Lisa Chang,Enterprise,active,2024-02-17T14:00:00
ACC-027,SpectrumCloud Labs,Enterprise,541046.03,45087.17,usage-based,Priya Patel,David Park,Enterprise,active,2023-04-07T14:00:00
ACC-028,VectorMetrics Corp,Enterprise,636313.92,53026.16,usage-based,Priya Patel,David Park,Enterprise,active,2023-09-11T14:00:00
ACC-029,TitanStream Systems,Enterprise,366956.93,30579.74,usage-based,Marcus Johnson,David Park,Enterprise,active,2023-03-21T14:00:00
ACC-030,GenesiData Analytics,Starter,39228.78,3269.07,hybrid,James Wilson,Mike Rivera,SMB,active,2025-02-01T14:00:00
ACC-031,CatalystCloud Co,Starter,37876.54,3156.38,hybrid,Marcus Johnson,Mike Rivera,SMB,active,2024-09-22T14:00:00
ACC-032,IonFlow Technologies,Growth,210557.0,17546.42,usage-based,Sarah Chen,Rachel Kim,Mid-Market,active,2023-02-11T14:00:00
ACC-033,NimbusData Corp,Enterprise,560301.08,46691.76,usage-based,Marcus Johnson,Lisa Chang,Enterprise,active,2023-07-21T14:00:00
ACC-034,ArcLight Analytics,Enterprise,454901.8,37908.48,usage-based,Priya Patel,David Park,Enterprise,active,2023-09-13T14:00:00
ACC-035,TridentStream Inc,Enterprise,285899.1,23824.92,usage-based,Ana Rodriguez,Lisa Chang,Enterprise,active,2023-05-27T14:00:00
ACC-036,KineticData Labs,Growth,219136.59,18261.38,usage-based,Priya Patel,Rachel Kim,Mid-Market,active,2023-12-14T14:00:00
ACC-037,StellarFlow Systems,Growth,86127.2,7177.27,usage-based,Sarah Chen,Tom Bradley,Mid-Market,active,2025-05-05T14:00:00
ACC-038,PhoenixMetrics Co,Enterprise,295057.37,24588.11,usage-based,Marcus Johnson,Mike Rivera,Enterprise,active,2025-03-15T14:00:00
ACC-039,DeltaCloud Solutions,Starter,10001.71,833.48,usage-based,Sarah Chen,Tom Bradley,SMB,active,2025-03-15T14:00:00
ACC-040,HorizonData Tech,Enterprise,319238.63,26603.22,usage-based,James Wilson,Lisa Chang,Enterprise,active,2023-11-21T14:00:00
ACC-041,PinnacleStream Corp,Enterprise,647757.12,53979.76,usage-based,Ana Rodriguez,David Park,Enterprise,active,2024-01-28T14:00:00
ACC-042,RadiantFlow Inc,Enterprise,416486.47,34707.21,usage-based,James Wilson,Lisa Chang,Enterprise,active,2025-02-19T14:00:00
ACC-043,QuantumBridge Labs,Enterprise,395525.59,32960.47,usage-based,James Wilson,Rachel Kim,Enterprise,active,2024-02-03T14:00:00
ACC-044,NexGenData Systems,Starter,9841.82,820.15,usage-based,Sarah Chen,Rachel Kim,SMB,active,2023-05-12T14:00:00
ACC-045,AlphaStream Analytics,Enterprise,610836.27,50903.02,usage-based,Marcus Johnson,Lisa Chang,Enterprise,active,2024-11-13T14:00:00
ACC-046,OmegaCloud Corp,Growth,66952.45,5579.37,usage-based,Marcus Johnson,Tom Bradley,Mid-Market,active,2024-02-08T14:00:00
ACC-047,FusionMetrics Inc,Enterprise,641632.8,53469.4,usage-based,James Wilson,David Park,Enterprise,active,2025-02-15T14:00:00
ACC-048,ZephyrData Solutions,Growth,219872.28,18322.69,usage-based,Sarah Chen,Mike Rivera,Mid-Market,active,2023-04-16T14:00:00
ACC-049,CosmicFlow Tech,Starter,13654.58,1137.88,hybrid,James Wilson,Lisa Chang,SMB,active,2024-04-11T14:00:00
ACC-050,InfinityStream Labs,Starter,13597.66,1133.14,usage-based,James Wilson,Tom Bradley,SMB,active,2023-03-16T14:00:00
ACC-051,AuroraData Corp,Starter,17698.47,1474.87,hybrid,Marcus Johnson,Lisa Chang,SMB,active,2024-07-27T14:00:00
ACC-052,TerraForge Analytics,Enterprise,209241.65,17436.8,usage-based,Ana Rodriguez,Mike Rivera,Enterprise,active,2023-04-22T14:00:00
ACC-053,CelestialCloud Inc,Growth,50925.34,4243.78,usage-based,James Wilson,David Park,Mid-Market,active,2023-11-30T14:00:00
ACC-054,VanguardMetrics Co,Enterprise,660389.45,55032.45,usage-based,Sarah Chen,Lisa Chang,Enterprise,churned,2025-03-17T14:00:00
ACC-055,ThunderData Systems,Growth,162187.83,13515.65,usage-based,Marcus Johnson,Rachel Kim,Mid-Market,active,2025-01-24T14:00:00
ACC-056,LuminousStream Labs,Starter,27368.96,2280.75,usage-based,Ana Rodriguez,Mike Rivera,SMB,active,2024-03-23T14:00:00
ACC-057,EternalFlow Corp,Growth,142610.39,11884.2,usage-based,Priya Patel,Tom Bradley,Mid-Market,active,2024-10-29T14:00:00
ACC-058,MajesticData Inc,Starter,18682.25,1556.85,hybrid,James Wilson,Lisa Chang,SMB,active,2023-07-09T14:00:00
ACC-059,SovereignCloud Tech,Growth,123385.97,10282.16,usage-based,Sarah Chen,Mike Rivera,Mid-Market,active,2024-02-12T14:00:00
ACC-060,GalacticMetrics Solutions,Growth,142212.87,11851.07,usage-based,Sarah Chen,Mike Rivera,Mid-Market,active,2023-11-23T14:00:00
ACC-061,NorthstarRevenue Labs 061,Enterprise,312600.21,26050.02,usage-based,Priya Patel,Mike Rivera,Enterprise,active,2024-09-18T14:00:00
ACC-062,BluePeakRevenue Labs 062,Growth,70078.94,5839.91,usage-based,Ana Rodriguez,Tom Bradley,Mid-Market,active,2023-09-08T14:00:00
ACC-063,ClearPathRevenue Labs 063,Growth,185663.79,15471.98,usage-based,Ana Rodriguez,Mike Rivera,Mid-Market,active,2023-07-13T14:00:00
ACC-064,EvergreenRevenue Labs 064,Starter,18178.88,1514.91,usage-based,Marcus Johnson,Tom Bradley,SMB,active,2025-01-28T14:00:00
ACC-065,SilverlineRevenue Labs 065,Starter,33242.17,2770.18,usage-based,Priya Patel,Tom Bradley,SMB,active,2023-09-15T14:00:00
ACC-066,KeystoneRevenue Labs 066,Enterprise,351440.14,29286.68,usage-based,Priya Patel,David Park,Enterprise,active,2024-01-12T14:00:00
ACC-067,SummitRevenue Labs 067,Enterprise,634079.52,52839.96,usage-based,Sarah Chen,Mike Rivera,Enterprise,active,2023-08-16T14:00:00
ACC-068,RiverbendRevenue Labs 068,Growth,91249.08,7604.09,usage-based,Sarah Chen,Tom Bradley,Mid-Market,active,2023-03-29T14:00:00
ACC-069,IroncladRevenue Labs 069,Enterprise,669898.98,55824.92,usage-based,Marcus Johnson,Rachel Kim,Enterprise,active,2023-11-09T14:00:00
ACC-070,BrightForgeRevenue Labs 070,Growth,141841.42,11820.12,usage-based,Sarah Chen,Mike Rivera,Mid-Market,active,2023-06-19T14:00:00
ACC-071,CoreSignalRevenue Labs 071,Starter,26550.07,2212.51,hybrid,Ana Rodriguez,David Park,SMB,active,2024-12-26T14:00:00
ACC-072,TrueNorthRevenue Labs 072,Growth,49445.54,4120.46,usage-based,Priya Patel,Mike Rivera,Mid-Market,active,2024-05-25T14:00:00
ACC-073,NorthstarWorkflow Labs 073,Enterprise,304764.87,25397.07,usage-based,Sarah Chen,Tom Bradley,Enterprise,active,2023-03-20T14:00:00
ACC-074,BluePeakWorkflow Labs 074,Growth,197698.86,16474.9,usage-based,Ana Rodriguez,Lisa Chang,Mid-Market,active,2024-09-26T14:00:00
ACC-075,ClearPathWorkflow Labs 075,Growth,215764.67,17980.39,usage-based,Marcus Johnson,Rachel Kim,Mid-Market,active,2025-05-01T14:00:00
ACC-076,EvergreenWorkflow Labs 076,Enterprise,642243.65,53520.3,usage-based,James Wilson,Lisa Chang,Enterprise,active,2024-08-26T14:00:00
ACC-077,SilverlineWorkflow Labs 077,Growth,166827.52,13902.29,usage-based,James Wilson,Mike Rivera,Mid-Market,active,2024-01-31T14:00:00
ACC-078,KeystoneWorkflow Labs 078,Enterprise,588293.3,49024.44,usage-based,James Wilson,Tom Bradley,Enterprise,active,2024-07-18T14:00:00
ACC-079,SummitWorkflow Labs 079,Starter,37624.98,3135.42,usage-based,Sarah Chen,Lisa Chang,SMB,active,2024-04-13T14:00:00
ACC-080,RiverbendWorkflow Labs 080,Growth,195854.82,16321.24,usage-based,Priya Patel,Tom Bradley,Mid-Market,active,2023-08-09T14:00:00
ACC-081,IroncladWorkflow Labs 081,Growth,162954.23,13579.52,usage-based,Ana Rodriguez,Tom Bradley,Mid-Market,active,2025-04-28T14:00:00
ACC-082,BrightForgeWorkflow Labs 082,Enterprise,665200.31,55433.36,usage-based,Marcus Johnson,David Park,Enterprise,active,2024-08-28T14:00:00
ACC-083,CoreSignalWorkflow Labs 083,Enterprise,478285.63,39857.14,usage-based,Priya Patel,Tom Bradley,Enterprise,active,2024-03-06T14:00:00
ACC-084,TrueNorthWorkflow Labs 084,Growth,133033.3,11086.11,usage-based,James Wilson,David Park,Mid-Market,active,2024-11-13T14:00:00
ACC-085,NorthstarAutomation Labs 085,Enterprise,534392.64,44532.72,usage-based,Sarah Chen,David Park,Enterprise,active,2023-02-21T14:00:00
ACC-086,BluePeakAutomation Labs 086,Growth,170058.54,14171.55,usage-based,Marcus Johnson,Tom Bradley,Mid-Market,active,2024-03-11T14:00:00
ACC-087,ClearPathAutomation Labs 087,Enterprise,512118.84,42676.57,usage-based,Priya Patel,David Park,Enterprise,active,2024-07-09T14:00:00
ACC-088,EvergreenAutomation Labs 088,Growth,64183.31,5348.61,usage-based,Priya Patel,David Park,Mid-Market,active,2024-07-14T14:00:00
ACC-089,SilverlineAutomation Labs 089,Growth,100060.56,8338.38,usage-based,Priya Patel,David Park,Mid-Market,active,2025-01-16T14:00:00
ACC-090,KeystoneAutomation Labs 090,Enterprise,512464.72,42705.39,usage-based,James Wilson,Lisa Chang,Enterprise,active,2023-09-04T14:00:00
ACC-091,SummitAutomation Labs 091,Growth,114281.38,9523.45,usage-based,Sarah Chen,Tom Bradley,Mid-Market,active,2024-08-06T14:00:00
ACC-092,RiverbendAutomation Labs 092,Enterprise,572879.41,47739.95,usage-based,Ana Rodriguez,Tom Bradley,Enterprise,active,2024-02-05T14:00:00
ACC-093,IroncladAutomation Labs 093,Growth,162261.65,13521.8,usage-based,Ana Rodriguez,Rachel Kim,Mid-Market,active,2023-03-06T14:00:00
ACC-094,BrightForgeAutomation Labs 094,Growth,183692.41,15307.7,usage-based,Marcus Johnson,Mike Rivera,Mid-Market,active,2024-08-09T14:00:00
ACC-095,CoreSignalAutomation Labs 095,Growth,154663.47,12888.62,usage-based,Priya Patel,Mike Rivera,Mid-Market,active,2023-02-08T14:00:00
ACC-096,TrueNorthAutomation Labs 096,Starter,15985.53,1332.13,hybrid,Marcus Johnson,Lisa Chang,SMB,active,2024-12-27T14:00:00
ACC-097,NorthstarSecurity Labs 097,Enterprise,302421.27,25201.77,usage-based,James Wilson,David Park,Enterprise,active,2023-04-01T14:00:00
ACC-098,BluePeakSecurity Labs 098,Enterprise,387220.51,32268.38,usage-based,Ana Rodriguez,Lisa Chang,Enterprise,active,2023-05-22T14:00:00
ACC-099,ClearPathSecurity Labs 099,Growth,129999.14,10833.26,usage-based,Marcus Johnson,Lisa Chang,Mid-Market,active,2023-07-25T14:00:00
ACC-100,EvergreenSecurity Labs 100,Growth,200893.45,16741.12,usage-based,Sarah Chen,Rachel Kim,Mid-Market,active,2024-10-14T14:00:00
ACC-101,SilverlineSecurity Labs 101,Enterprise,658983.02,54915.25,usage-based,Ana Rodriguez,Rachel Kim,Enterprise,active,2025-04-05T14:00:00
ACC-102,KeystoneSecurity Labs 102,Growth,205309.66,17109.14,usage-based,Sarah Chen,Rachel Kim,Mid-Market,active,2025-01-10T14:00:00
ACC-103,SummitSecurity Labs 103,Starter,30697.64,2558.14,hybrid,James Wilson,David Park,SMB,active,2023-02-12T14:00:00
ACC-104,RiverbendSecurity Labs 104,Growth,131850.51,10987.54,usage-based,Ana Rodriguez,Rachel Kim,Mid-Market,active,2024-12-15T14:00:00
ACC-105,IroncladSecurity Labs 105,Growth,126492.05,10541.0,usage-based,Priya Patel,Lisa Chang,Mid-Market,active,2023-08-13T14:00:00
ACC-106,BrightForgeSecurity Labs 106,Enterprise,568837.42,47403.12,usage-based,James Wilson,Lisa Chang,Enterprise,active,2024-08-18T14:00:00
ACC-107,CoreSignalSecurity Labs 107,Growth,169010.99,14084.25,usage-based,Marcus Johnson,Tom Bradley,Mid-Market,churned,2024-06-17T14:00:00
ACC-108,TrueNorthSecurity Labs 108,Growth,138147.1,11512.26,usage-based,Marcus Johnson,Lisa Chang,Mid-Market,active,2024-10-02T14:00:00
ACC-109,NorthstarCommerce Labs 109,Growth,69199.34,5766.61,usage-based,Marcus Johnson,Mike Rivera,Mid-Market,active,2024-03-28T14:00:00
ACC-110,BluePeakCommerce Labs 110,Growth,138584.78,11548.73,usage-based,James Wilson,Mike Rivera,Mid-Market,active,2024-10-27T14:00:00
ACC-111,ClearPathCommerce Labs 111,Starter,21242.21,1770.18,usage-based,Ana Rodriguez,Rachel Kim,SMB,active,2024-01-24T14:00:00
ACC-112,EvergreenCommerce Labs 112,Enterprise,355879.4,29656.62,usage-based,James Wilson,Rachel Kim,Enterprise,active,2023-11-22T14:00:00
ACC-113,SilverlineCommerce Labs 113,Growth,139211.55,11600.96,usage-based,Ana Rodriguez,Lisa Chang,Mid-Market,active,2024-01-13T14:00:00
ACC-114,KeystoneCommerce Labs 114,Enterprise,397917.99,33159.83,usage-based,Sarah Chen,Rachel Kim,Enterprise,active,2024-06-16T14:00:00
ACC-115,SummitCommerce Labs 115,Starter,35136.84,2928.07,usage-based,James Wilson,Lisa Chang,SMB,active,2023-08-28T14:00:00
ACC-116,RiverbendCommerce Labs 116,Growth,203433.34,16952.78,usage-based,Ana Rodriguez,David Park,Mid-Market,active,2023-07-18T14:00:00
ACC-117,IroncladCommerce Labs 117,Enterprise,501374.82,41781.24,usage-based,Marcus Johnson,Rachel Kim,Enterprise,active,2024-11-21T14:00:00
ACC-118,BrightForgeCommerce Labs 118,Enterprise,369551.93,30795.99,usage-based,Marcus Johnson,Rachel Kim,Enterprise,active,2024-06-26T14:00:00
ACC-119,CoreSignalCommerce Labs 119,Growth,198575.92,16547.99,usage-based,Priya Patel,Rachel Kim,Mid-Market,active,2024-09-10T14:00:00
ACC-120,TrueNorthCommerce Labs 120,Starter,23990.43,1999.2,usage-based,Priya Patel,Lisa Chang,SMB,active,2023-07-31T14:00:00
ACC-121,NorthstarHealth Labs 121,Enterprise,658642.8,54886.9,usage-based,Sarah Chen,Mike Rivera,Enterprise,active,2024-09-15T14:00:00
ACC-122,BluePeakHealth Labs 122,Enterprise,190190.01,15849.17,usage-based,Marcus Johnson,Lisa Chang,Enterprise,active,2025-01-17T14:00:00
ACC-123,ClearPathHealth Labs 123,Growth,62361.32,5196.78,usage-based,Marcus Johnson,Rachel Kim,Mid-Market,active,2023-06-10T14:00:00
ACC-124,EvergreenHealth Labs 124,Enterprise,364447.59,30370.63,usage-based,Ana Rodriguez,David Park,Enterprise,active,2023-04-22T14:00:00
ACC-125,SilverlineHealth Labs 125,Growth,180446.96,15037.25,usage-based,Marcus Johnson,Tom Bradley,Mid-Market,active,2025-02-05T14:00:00
ACC-126,KeystoneHealth Labs 126,Growth,207341.92,17278.49,usage-based,Ana Rodriguez,Rachel Kim,Mid-Market,active,2024-04-15T14:00:00
ACC-127,SummitHealth Labs 127,Starter,14743.21,1228.6,usage-based,Sarah Chen,Tom Bradley,SMB,active,2023-06-26T14:00:00
ACC-128,RiverbendHealth Labs 128,Growth,63547.8,5295.65,usage-based,Ana Rodriguez,Mike Rivera,Mid-Market,active,2024-06-05T14:00:00
ACC-129,IroncladHealth Labs 129,Growth,159750.8,13312.57,usage-based,Sarah Chen,David Park,Mid-Market,active,2023-08-02T14:00:00
ACC-130,BrightForgeHealth Labs 130,Growth,193224.46,16102.04,usage-based,James Wilson,Mike Rivera,Mid-Market,active,2024-03-09T14:00:00
ACC-131,CoreSignalHealth Labs 131,Starter,29609.89,2467.49,hybrid,Marcus Johnson,Rachel Kim,SMB,active,2024-11-27T14:00:00
ACC-132,TrueNorthHealth Labs 132,Growth,213854.32,17821.19,usage-based,Priya Patel,David Park,Mid-Market,active,2023-02-19T14:00:00
ACC-133,NorthstarLogistics Labs 133,Starter,34337.81,2861.48,hybrid,James Wilson,David Park,SMB,active,2024-08-25T14:00:00
ACC-134,BluePeakLogistics Labs 134,Growth,85698.14,7141.51,usage-based,Sarah Chen,Tom Bradley,Mid-Market,active,2024-02-20T14:00:00
ACC-135,ClearPathLogistics Labs 135,Enterprise,412354.23,34362.85,usage-based,Ana Rodriguez,Rachel Kim,Enterprise,active,2024-06-16T14:00:00
ACC-136,EvergreenLogistics Labs 136,Enterprise,605476.42,50456.37,usage-based,Marcus Johnson,Rachel Kim,Enterprise,active,2024-10-21T14:00:00
ACC-137,SilverlineLogistics Labs 137,Growth,87986.73,7332.23,usage-based,Priya Patel,David Park,Mid-Market,active,2023-06-08T14:00:00
ACC-138,KeystoneLogistics Labs 138,Starter,26896.89,2241.41,usage-based,Sarah Chen,Lisa Chang,SMB,active,2023-05-20T14:00:00
ACC-139,SummitLogistics Labs 139,Growth,140821.37,11735.11,usage-based,Marcus Johnson,Rachel Kim,Mid-Market,active,2023-08-04T14:00:00
ACC-140,RiverbendLogistics Labs 140,Growth,121775.07,10147.92,usage-based,Sarah Chen,Mike Rivera,Mid-Market,active,2024-07-29T14:00:00
ACC-141,IroncladLogistics Labs 141,Enterprise,525893.58,43824.46,usage-based,Priya Patel,David Park,Enterprise,active,2024-05-14T14:00:00
ACC-142,BrightForgeLogistics Labs 142,Growth,136504.1,11375.34,usage-based,James Wilson,David Park,Mid-Market,active,2024-06-22T14:00:00
ACC-143,CoreSignalLogistics Labs 143,Growth,122766.66,10230.56,usage-based,Priya Patel,Tom Bradley,Mid-Market,active,2024-10-02T14:00:00
ACC-144,TrueNorthLogistics Labs 144,Enterprise,276292.15,23024.35,usage-based,Sarah Chen,David Park,Enterprise,active,2023-04-07T14:00:00
ACC-145,NorthstarAnalytics Systems 145,Growth,76094.29,6341.19,usage-based,James Wilson,Tom Bradley,Mid-Market,active,2023-05-16T14:00:00
ACC-146,BluePeakAnalytics Systems 146,Growth,177317.01,14776.42,usage-based,Ana Rodriguez,Tom Bradley,Mid-Market,active,2025-02-13T14:00:00
ACC-147,ClearPathAnalytics Systems 147,Starter,18072.38,1506.03,hybrid,Marcus Johnson,Tom Bradley,SMB,active,2025-05-12T14:00:00
ACC-148,EvergreenAnalytics Systems 148,Growth,64531.77,5377.65,usage-based,Sarah Chen,Mike Rivera,Mid-Market,active,2023-11-07T14:00:00
ACC-149,SilverlineAnalytics Systems 149,Enterprise,652044.81,54337.07,usage-based,James Wilson,Mike Rivera,Enterprise,active,2025-05-14T14:00:00
ACC-150,KeystoneAnalytics Systems 150,Growth,125552.66,10462.72,usage-based,James Wilson,Tom Bradley,Mid-Market,active,2024-11-19T14:00:00
ACC-151,SummitAnalytics Systems 151,Starter,16584.27,1382.02,hybrid,Sarah Chen,Mike Rivera,SMB,active,2024-04-11T14:00:00
ACC-152,RiverbendAnalytics Systems 152,Growth,144709.77,12059.15,usage-based,Sarah Chen,Lisa Chang,Mid-Market,active,2024-12-25T14:00:00
ACC-153,IroncladAnalytics Systems 153,Starter,40270.27,3355.86,usage-based,Marcus Johnson,Mike Rivera,SMB,active,2023-11-02T14:00:00
ACC-154,BrightForgeAnalytics Systems 154,Growth,149924.54,12493.71,usage-based,Ana Rodriguez,Lisa Chang,Mid-Market,active,2023-03-24T14:00:00
ACC-155,CoreSignalAnalytics Systems 155,Growth,122191.57,10182.63,usage-based,James Wilson,Tom Bradley,Mid-Market,active,2023-10-02T14:00:00
ACC-156,TrueNorthAnalytics Systems 156,Growth,96357.68,8029.81,usage-based,Ana Rodriguez,Mike Rivera,Mid-Market,active,2023-09-10T14:00:00
ACC-157,NorthstarCloud Systems 157,Starter,11373.94,947.83,usage-based,Marcus Johnson,Tom Bradley,SMB,active,2023-07-20T14:00:00
ACC-158,BluePeakCloud Systems 158,Enterprise,299932.59,24994.38,usage-based,Ana Rodriguez,Mike Rivera,Enterprise,active,2024-12-17T14:00:00
ACC-159,ClearPathCloud Systems 159,Enterprise,405251.85,33770.99,usage-based,Ana Rodriguez,Rachel Kim,Enterprise,active,2024-08-01T14:00:00
ACC-160,EvergreenCloud Systems 160,Enterprise,324052.44,27004.37,usage-based,Priya Patel,Rachel Kim,Enterprise,churned,2025-03-15T14:00:00
ACC-161,SilverlineCloud Systems 161,Growth,206456.17,17204.68,usage-based,Ana Rodriguez,Lisa Chang,Mid-Market,active,2024-03-17T14:00:00
ACC-162,KeystoneCloud Systems 162,Enterprise,292404.73,24367.06,usage-based,Marcus Johnson,Tom Bradley,Enterprise,active,2023-01-31T14:00:00
ACC-163,SummitCloud Systems 163,Enterprise,209819.02,17484.92,usage-based,Priya Patel,David Park,Enterprise,active,2023-04-21T14:00:00
ACC-164,RiverbendCloud Systems 164,Starter,39320.55,3276.71,hybrid,Sarah Chen,Rachel Kim,SMB,active,2023-06-21T14:00:00
ACC-165,IroncladCloud Systems 165,Growth,113646.52,9470.54,usage-based,Priya Patel,David Park,Mid-Market,active,2023-11-21T14:00:00
ACC-166,BrightForgeCloud Systems 166,Growth,56318.65,4693.22,usage-based,Sarah Chen,Rachel Kim,Mid-Market,active,2023-05-05T14:00:00
ACC-167,CoreSignalCloud Systems 167,Growth,86565.49,7213.79,usage-based,Sarah Chen,Lisa Chang,Mid-Market,active,2023-07-06T14:00:00
ACC-168,TrueNorthCloud Systems 168,Starter,27556.77,2296.4,usage-based,Priya Patel,David Park,SMB,active,2025-04-15T14:00:00
ACC-169,NorthstarData Systems 169,Growth,73183.95,6098.66,usage-based,Ana Rodriguez,Rachel Kim,Mid-Market,active,2024-08-15T14:00:00
ACC-170,BluePeakData Systems 170,Enterprise,472664.81,39388.73,usage-based,James Wilson,Mike Rivera,Enterprise,active,2024-01-31T14:00:00
ACC-171,ClearPathData Systems 171,Growth,101328.89,8444.07,usage-based,Sarah Chen,Lisa Chang,Mid-Market,active,2024-06-23T14:00:00
ACC-172,EvergreenData Systems 172,Growth,130193.49,10849.46,usage-based,James Wilson,David Park,Mid-Market,active,2025-04-19T14:00:00
ACC-173,SilverlineData Systems 173,Growth,97984.05,8165.34,usage-based,Priya Patel,Mike Rivera,Mid-Market,active,2023-03-27T14:00:00
ACC-174,KeystoneData Systems 174,Growth,133598.13,11133.18,usage-based,Sarah Chen,David Park,Mid-Market,active,2024-02-08T14:00:00
ACC-175,SummitData Systems 175,Growth,75389.69,6282.47,usage-based,Priya Patel,David Park,Mid-Market,active,2023-04-13T14:00:00
ACC-176,RiverbendData Systems 176,Growth,120683.29,10056.94,usage-based,Sarah Chen,Lisa Chang,Mid-Market,active,2024-08-26T14:00:00
ACC-177,IroncladData Systems 177,Growth,207125.75,17260.48,usage-based,James Wilson,Rachel Kim,Mid-Market,active,2025-01-22T14:00:00
ACC-178,BrightForgeData Systems 178,Enterprise,495011.14,41250.93,usage-based,Marcus Johnson,Lisa Chang,Enterprise,active,2024-07-12T14:00:00
ACC-179,CoreSignalData Systems 179,Growth,140300.75,11691.73,usage-based,Sarah Chen,Lisa Chang,Mid-Market,active,2025-01-30T14:00:00
ACC-180,TrueNorthData Systems 180,Growth,62908.97,5242.41,usage-based,Marcus Johnson,Rachel Kim,Mid-Market,active,2023-05-24T14:00:00
ACC-181,NorthstarMetrics Systems 181,Growth,167563.27,13963.61,usage-based,James Wilson,Rachel Kim,Mid-Market,active,2024-01-29T14:00:00
ACC-182,BluePeakMetrics Systems 182,Enterprise,455632.54,37969.38,usage-based,James Wilson,Lisa Chang,Enterprise,active,2023-09-21T14:00:00
ACC-183,ClearPathMetrics Systems 183,Growth,198520.07,16543.34,usage-based,Sarah Chen,Tom Bradley,Mid-Market,active,2023-03-27T14:00:00
ACC-184,EvergreenMetrics Systems 184,Starter,22108.04,1842.34,hybrid,Sarah Chen,Tom Bradley,SMB,active,2023-05-14T14:00:00
