ticket_id,account_id,subject,priority,status,created_at,resolved_at,category
TKT-8a1f4332,ACC-009,Custom dashboard request,high,resolved,2025-06-25T14:00:00,2025-06-26T15:00:00,feature_request
TKT-a6c8d5e6,ACC-009,Custom dashboard request,low,resolved,2025-07-03T14:00:00,2025-07-05T08:00:00,feature_request
TKT-ac0cd051,ACC-009,Payment processing issue,low,resolved,2025-07-05T14:00:00,2025-07-06T10:00:00,billing
TKT-0557bd1c,ACC-009,Data duplication in reports,low,resolved,2025-05-23T14:00:00,2025-05-25T20:00:00,bug
TKT-8828897d,ACC-010,API latency spike,medium,resolved,2025-07-01T14:00:00,2025-07-05T18:00:00,technical
TKT-5bf3da88,ACC-010,Team training request,medium,resolved,2025-05-09T14:00:00,2025-05-13T13:00:00,onboarding
TKT-22e20c2e,ACC-010,Data sync failure,low,resolved,2025-05-11T14:00:00,2025-05-16T04:00:00,technical
TKT-ccaefb13,ACC-010,Data duplication in reports,medium,in_progress,2025-06-15T14:00:00,,bug
TKT-78f97dc2,ACC-011,API latency spike,low,resolved,2025-06-02T14:00:00,2025-06-09T01:00:00,technical
TKT-fce997e6,ACC-012,API v2 access,low,in_progress,2025-05-23T14:00:00,,feature_request
TKT-8d8e299a,ACC-012,Migration assistance,medium,resolved,2025-06-27T14:00:00,2025-06-29T08:00:00,onboarding
TKT-02fb55be,ACC-012,SSO integration,medium,resolved,2025-05-20T14:00:00,2025-05-25T11:00:00,feature_request
TKT-c3ce4f7b,ACC-012,Bulk export capability,high,resolved,2025-05-04T14:00:00,2025-05-08T19:00:00,feature_request
TKT-f25ba033,ACC-013,Rate limiting issue,high,resolved,2025-06-02T14:00:00,2025-06-07T12:00:00,technical
TKT-0497ce79,ACC-013,Integration setup help,medium,resolved,2025-06-16T14:00:00,2025-06-20T05:00:00,onboarding
TKT-fb842e38,ACC-014,Authentication error,low,resolved,2025-05-24T14:00:00,2025-05-30T18:00:00,technical
TKT-55a4380c,ACC-014,Migration assistance,high,resolved,2025-06-11T14:00:00,2025-06-13T15:00:00,onboarding
TKT-bce8daad,ACC-015,Data duplication in reports,low,open,2025-05-06T14:00:00,,bug
TKT-91b2cef2,ACC-015,SSO integration,high,resolved,2025-05-01T14:00:00,2025-05-02T12:00:00,feature_request
TKT-196d92f7,ACC-015,Custom dashboard request,medium,resolved,2025-06-30T14:00:00,2025-07-02T10:00:00,feature_request
TKT-bbb2cbf3,ACC-015,Data sync failure,medium,in_progress,2025-05-19T14:00:00,,technical
TKT-713a4104,ACC-016,Migration assistance,low,resolved,2025-04-30T14:00:00,2025-05-06T14:00:00,onboarding
TKT-4fcb23b4,ACC-016,Bulk export capability,medium,resolved,2025-04-28T14:00:00,2025-05-02T03:00:00,feature_request
TKT-64dd91e9,ACC-016,Rate limiting issue,medium,resolved,2025-07-01T14:00:00,2025-07-02T05:00:00,technical
TKT-18cabb6a,ACC-016,Data duplication in reports,high,resolved,2025-05-16T14:00:00,2025-05-20T21:00:00,bug
TKT-45c8c174,ACC-017,Team training request,low,resolved,2025-06-18T14:00:00,2025-06-19T17:00:00,onboarding
TKT-bd917488,ACC-017,Billing cycle question,low,resolved,2025-06-03T14:00:00,2025-06-08T04:00:00,billing
TKT-2eaab708,ACC-017,Missing overage charges,medium,resolved,2025-06-27T14:00:00,2025-07-02T12:00:00,billing
TKT-7cbf78c8,ACC-017,Migration assistance,medium,in_progress,2025-06-07T14:00:00,,onboarding
TKT-5b80f51c,ACC-018,API v2 access,medium,resolved,2025-07-05T14:00:00,2025-07-08T01:00:00,feature_request
TKT-26a40dd9,ACC-019,Migration assistance,medium,in_progress,2025-05-29T14:00:00,,onboarding
TKT-8559f280,ACC-019,Missing overage charges,critical,resolved,2025-05-03T14:00:00,2025-05-05T18:00:00,billing
TKT-3984cc46,ACC-020,Migration assistance,medium,resolved,2025-06-02T14:00:00,2025-06-03T19:00:00,onboarding
TKT-e64ea51b,ACC-020,Incorrect usage metrics,medium,resolved,2025-07-03T14:00:00,2025-07-08T22:00:00,bug
TKT-49431b90,ACC-020,Authentication error,medium,resolved,2025-07-08T14:00:00,2025-07-11T23:00:00,technical
TKT-21c5031e,ACC-020,Authentication error,low,resolved,2025-06-04T14:00:00,2025-06-11T04:00:00,technical
TKT-16b351ff,ACC-021,Custom dashboard request,medium,in_progress,2025-06-17T14:00:00,,feature_request
TKT-941f6cc0,ACC-021,Team training request,medium,resolved,2025-06-02T14:00:00,2025-06-06T06:00:00,onboarding
TKT-79c30d3e,ACC-021,Incorrect invoice amount,critical,resolved,2025-06-20T14:00:00,2025-06-25T21:00:00,billing
TKT-c003f21a,ACC-022,Documentation question,high,resolved,2025-05-02T14:00:00,2025-05-07T14:00:00,onboarding
TKT-16eed7fe,ACC-023,Rate limiting issue,low,resolved,2025-07-10T14:00:00,2025-07-10T22:00:00,technical
TKT-972ce802,ACC-023,Documentation question,low,open,2025-06-13T14:00:00,,onboarding
TKT-ecc2cb11,ACC-024,Incorrect usage metrics,medium,open,2025-06-14T14:00:00,,bug
TKT-99d5b239,ACC-024,Authentication error,medium,resolved,2025-07-02T14:00:00,2025-07-02T22:00:00,technical
TKT-e8404dcf,ACC-024,Custom dashboard request,low,resolved,2025-05-22T14:00:00,2025-05-23T14:00:00,feature_request
TKT-386d4261,ACC-026,Rate limiting issue,high,resolved,2025-05-11T14:00:00,2025-05-13T10:00:00,technical
TKT-1f98352d,ACC-026,Authentication error,medium,resolved,2025-07-09T14:00:00,2025-07-12T04:00:00,technical
TKT-d53f3131,ACC-027,Dashboard not loading,low,open,2025-05-01T14:00:00,,bug
TKT-6dfef63c,ACC-027,API latency spike,high,resolved,2025-06-01T14:00:00,2025-06-03T05:00:00,technical
TKT-6b3716b3,ACC-029,Missing overage charges,high,open,2025-06-16T14:00:00,,billing
TKT-73f14752,ACC-029,Data sync failure,medium,resolved,2025-07-10T14:00:00,2025-07-14T10:00:00,technical
TKT-3f42ab62,ACC-029,Migration assistance,low,resolved,2025-06-08T14:00:00,2025-06-14T06:00:00,onboarding
TKT-9993c006,ACC-029,Rate limiting issue,medium,in_progress,2025-05-11T14:00:00,,technical
TKT-31daa0de,ACC-030,Bulk export capability,low,open,2025-06-19T14:00:00,,feature_request
TKT-27d54d97,ACC-032,Team training request,critical,resolved,2025-05-24T14:00:00,2025-05-25T11:00:00,onboarding
TKT-f5331bc8,ACC-032,Documentation question,medium,resolved,2025-06-14T14:00:00,2025-06-19T14:00:00,onboarding
TKT-849613c9,ACC-032,Export file corrupted,medium,in_progress,2025-06-14T14:00:00,,bug
TKT-5ec1f2ac,ACC-033,Authentication error,medium,resolved,2025-06-17T14:00:00,2025-06-22T15:00:00,technical
TKT-99999c06,ACC-033,Bulk export capability,medium,resolved,2025-07-03T14:00:00,2025-07-04T10:00:00,feature_request
TKT-27df8415,ACC-034,Integration setup help,critical,resolved,2025-06-28T14:00:00,2025-07-04T14:00:00,onboarding
TKT-8eab776d,ACC-034,Incorrect invoice amount,low,open,2025-06-26T14:00:00,,billing
TKT-b123fd15,ACC-034,Billing cycle question,medium,resolved,2025-05-05T14:00:00,2025-05-08T13:00:00,billing
TKT-d6d9722d,ACC-035,Incorrect usage metrics,medium,open,2025-04-26T14:00:00,,bug
TKT-d1612afa,ACC-035,Integration setup help,high,resolved,2025-06-16T14:00:00,2025-06-20T09:00:00,onboarding
TKT-47cdf73d,ACC-037,Team training request,low,resolved,2025-05-17T14:00:00,2025-05-18T20:00:00,onboarding
TKT-ac5a57ee,ACC-037,Custom dashboard request,medium,resolved,2025-04-30T14:00:00,2025-05-05T17:00:00,feature_request
TKT-be812e89,ACC-037,Export file corrupted,high,resolved,2025-07-05T14:00:00,2025-07-10T17:00:00,bug
TKT-5e97791f,ACC-037,Rate limiting issue,medium,in_progress,2025-06-23T14:00:00,,technical
TKT-2acc5ce0,ACC-038,Payment processing issue,medium,resolved,2025-05-08T14:00:00,2025-05-14T04:00:00,billing
TKT-9e8d58a2,ACC-038,API latency spike,low,resolved,2025-05-15T14:00:00,2025-05-17T21:00:00,technical
TKT-5aedd9a2,ACC-039,Migration assistance,low,resolved,2025-05-03T14:00:00,2025-05-05T17:00:00,onboarding
TKT-57a3e937,ACC-039,Migration assistance,low,open,2025-05-17T14:00:00,,onboarding
TKT-e04c53dd,ACC-039,Team training request,low,resolved,2025-05-09T14:00:00,2025-05-16T14:00:00,onboarding
TKT-1a59c728,ACC-040,Data sync failure,low,resolved,2025-05-12T14:00:00,2025-05-16T20:00:00,technical
TKT-c9d03dea,ACC-040,Migration assistance,high,resolved,2025-05-16T14:00:00,2025-05-18T15:00:00,onboarding
TKT-874e63d5,ACC-040,Data duplication in reports,low,in_progress,2025-06-29T14:00:00,,bug
TKT-11b68659,ACC-041,API latency spike,high,open,2025-05-24T14:00:00,,technical
TKT-093866a2,ACC-042,Export file corrupted,medium,resolved,2025-05-11T14:00:00,2025-05-18T09:00:00,bug
TKT-53923205,ACC-042,Bulk export capability,low,resolved,2025-05-24T14:00:00,2025-05-26T05:00:00,feature_request
TKT-b167f7e3,ACC-043,Data duplication in reports,medium,resolved,2025-06-10T14:00:00,2025-06-17T08:00:00,bug
TKT-8f2dd276,ACC-043,Integration setup help,medium,open,2025-05-04T14:00:00,,onboarding
TKT-16da1861,ACC-044,Missing overage charges,critical,resolved,2025-04-26T14:00:00,2025-04-29T05:00:00,billing
TKT-c153aa48,ACC-044,Payment processing issue,medium,resolved,2025-06-27T14:00:00,2025-06-30T15:00:00,billing
TKT-3be4c079,ACC-044,Missing overage charges,high,open,2025-05-27T14:00:00,,billing
TKT-5cf4db52,ACC-044,Billing cycle question,high,resolved,2025-05-11T14:00:00,2025-05-13T15:00:00,billing
TKT-e8a9efc7,ACC-044,Data sync failure,medium,resolved,2025-05-15T14:00:00,2025-05-17T01:00:00,technical
TKT-a1fc0404,ACC-044,Incorrect usage metrics,medium,resolved,2025-07-07T14:00:00,2025-07-12T17:00:00,bug
TKT-2f6275e6,ACC-044,Authentication error,critical,resolved,2025-05-24T14:00:00,2025-05-27T14:00:00,technical
TKT-384c2df7,ACC-044,Authentication error,high,resolved,2025-05-27T14:00:00,2025-06-02T23:00:00,technical
TKT-5883b9db,ACC-045,Rate limiting issue,medium,open,2025-06-05T14:00:00,,technical
TKT-1fae0226,ACC-045,Export file corrupted,medium,resolved,2025-06-08T14:00:00,2025-06-15T03:00:00,bug
TKT-c74ec157,ACC-045,Missing overage charges,high,resolved,2025-05-30T14:00:00,2025-06-02T16:00:00,billing
TKT-12209fcf,ACC-046,Integration setup help,critical,resolved,2025-07-08T14:00:00,2025-07-10T17:00:00,onboarding
TKT-c70dff16,ACC-046,Bulk export capability,medium,resolved,2025-06-07T14:00:00,2025-06-12T04:00:00,feature_request
TKT-466e77c8,ACC-046,API v2 access,medium,resolved,2025-05-23T14:00:00,2025-05-29T09:00:00,feature_request
TKT-4e4e8293,ACC-046,Team training request,high,resolved,2025-05-20T14:00:00,2025-05-24T19:00:00,onboarding
TKT-8928a603,ACC-047,API v2 access,low,resolved,2025-05-02T14:00:00,2025-05-04T11:00:00,feature_request
TKT-6ec5e8ce,ACC-047,Dashboard not loading,medium,resolved,2025-06-08T14:00:00,2025-06-15T09:00:00,bug
TKT-cedadb31,ACC-047,Missing overage charges,low,open,2025-06-14T14:00:00,,billing
TKT-93f1c11a,ACC-048,Incorrect usage metrics,high,in_progress,2025-05-24T14:00:00,,bug
TKT-40015cb1,ACC-048,API latency spike,medium,in_progress,2025-05-15T14:00:00,,technical
TKT-7794ede3,ACC-048,Data duplication in reports,high,resolved,2025-07-01T14:00:00,2025-07-04T06:00:00,bug
TKT-134a8bac,ACC-048,Export file corrupted,critical,open,2025-06-09T14:00:00,,bug
TKT-6f29c536,ACC-048,Team training request,high,in_progress,2025-06-21T14:00:00,,onboarding
TKT-d3d2a655,ACC-048,Team training request,high,resolved,2025-05-25T14:00:00,2025-05-31T06:00:00,onboarding
TKT-ae7b87e4,ACC-048,Integration setup help,critical,resolved,2025-06-21T14:00:00,2025-06-24T00:00:00,onboarding
TKT-d15ba18e,ACC-048,Dashboard not loading,high,resolved,2025-05-31T14:00:00,2025-06-04T03:00:00,bug
TKT-55a29dea,ACC-048,Dashboard not loading,high,resolved,2025-07-04T14:00:00,2025-07-10T04:00:00,bug
TKT-68259ff5,ACC-048,Documentation question,high,in_progress,2025-07-05T14:00:00,,onboarding
TKT-97031f54,ACC-049,API v2 access,high,resolved,2025-06-22T14:00:00,2025-06-24T18:00:00,feature_request
TKT-50a20676,ACC-049,Missing overage charges,medium,resolved,2025-06-20T14:00:00,2025-06-25T19:00:00,billing
TKT-da20e808,ACC-052,Authentication error,low,resolved,2025-05-06T14:00:00,2025-05-07T14:00:00,technical
TKT-8d7c4460,ACC-052,Payment processing issue,low,open,2025-05-14T14:00:00,,billing
TKT-fd115670,ACC-053,Integration setup help,critical,open,2025-05-30T14:00:00,,onboarding
TKT-451901f5,ACC-055,Authentication error,low,resolved,2025-05-05T14:00:00,2025-05-10T19:00:00,technical
TKT-56acb32c,ACC-055,Migration assistance,low,resolved,2025-06-21T14:00:00,2025-06-23T23:00:00,onboarding
TKT-93837f37,ACC-055,Custom dashboard request,medium,open,2025-06-16T14:00:00,,feature_request
TKT-3cc401df,ACC-055,Payment processing issue,high,open,2025-06-23T14:00:00,,billing
TKT-99d3ebed,ACC-057,Export file corrupted,critical,resolved,2025-06-04T14:00:00,2025-06-06T17:00:00,bug
TKT-943007cf,ACC-058,Documentation question,medium,open,2025-06-03T14:00:00,,onboarding
TKT-1cb4516f,ACC-059,Documentation question,medium,resolved,2025-05-16T14:00:00,2025-05-23T08:00:00,onboarding
TKT-bc2e3700,ACC-059,Incorrect usage metrics,medium,resolved,2025-05-23T14:00:00,2025-05-25T18:00:00,bug
TKT-f3aba6c3,ACC-059,Payment processing issue,medium,resolved,2025-04-27T14:00:00,2025-05-03T05:00:00,billing
TKT-3b17780d,ACC-059,API latency spike,high,resolved,2025-05-15T14:00:00,2025-05-20T06:00:00,technical
TKT-7c7e1274,ACC-060,Custom dashboard request,low,resolved,2025-06-24T14:00:00,2025-06-29T13:00:00,feature_request
TKT-a0909108,ACC-060,Payment processing issue,low,resolved,2025-06-03T14:00:00,2025-06-04T12:00:00,billing
TKT-835a079b,ACC-060,Payment processing issue,low,resolved,2025-04-27T14:00:00,2025-05-04T02:00:00,billing
TKT-178a28fb,ACC-060,Export file corrupted,low,resolved,2025-06-05T14:00:00,2025-06-09T05:00:00,bug
TKT-ea52d1aa,ACC-061,API latency spike,high,resolved,2025-06-13T14:00:00,2025-06-14T14:00:00,technical
TKT-802cfa01,ACC-061,Missing overage charges,high,in_progress,2025-06-13T14:00:00,,billing
TKT-36d6dba6,ACC-061,Incorrect invoice amount,high,resolved,2025-05-19T14:00:00,2025-05-20T09:00:00,billing
TKT-ed3b7e53,ACC-062,Incorrect invoice amount,low,resolved,2025-04-26T14:00:00,2025-04-29T06:00:00,billing
TKT-9a5bb2ea,ACC-062,Incorrect usage metrics,low,in_progress,2025-07-06T14:00:00,,bug
TKT-79d847a9,ACC-063,Dashboard not loading,low,in_progress,2025-05-02T14:00:00,,bug
TKT-cd73d5a8,ACC-063,Billing cycle question,low,open,2025-06-09T14:00:00,,billing
TKT-546fc693,ACC-064,Custom dashboard request,high,resolved,2025-06-03T14:00:00,2025-06-05T12:00:00,feature_request
TKT-9c7b3d25,ACC-065,Dashboard not loading,high,resolved,2025-06-11T14:00:00,2025-06-16T19:00:00,bug
TKT-9a23990c,ACC-065,Incorrect usage metrics,high,resolved,2025-06-12T14:00:00,2025-06-19T11:00:00,bug
TKT-17f246e6,ACC-065,SSO integration,medium,open,2025-05-11T14:00:00,,feature_request
TKT-d772a9db,ACC-066,Dashboard not loading,high,in_progress,2025-05-14T14:00:00,,bug
TKT-5c7531dd,ACC-067,Billing cycle question,medium,resolved,2025-07-07T14:00:00,2025-07-08T09:00:00,billing
TKT-a9a234de,ACC-067,Custom dashboard request,low,resolved,2025-05-16T14:00:00,2025-05-23T10:00:00,feature_request
TKT-a2a020f6,ACC-067,Migration assistance,low,resolved,2025-05-03T14:00:00,2025-05-09T00:00:00,onboarding
TKT-9889909e,ACC-068,API v2 access,low,resolved,2025-06-30T14:00:00,2025-07-01T04:00:00,feature_request
TKT-0061c956,ACC-068,API latency spike,low,in_progress,2025-07-03T14:00:00,,technical
TKT-7cc11c3a,ACC-068,Integration setup help,critical,resolved,2025-06-29T14:00:00,2025-07-04T00:00:00,onboarding
TKT-984281e4,ACC-068,Data duplication in reports,critical,resolved,2025-06-23T14:00:00,2025-06-24T01:00:00,bug
TKT-764ffcb3,ACC-069,Data sync failure,low,in_progress,2025-05-17T14:00:00,,technical
TKT-3e534e8c,ACC-069,API v2 access,medium,resolved,2025-05-05T14:00:00,2025-05-09T09:00:00,feature_request
TKT-6d106796,ACC-069,API v2 access,high,resolved,2025-05-30T14:00:00,2025-06-02T23:00:00,feature_request
TKT-1b6f6ba5,ACC-070,API latency spike,medium,in_progress,2025-07-10T14:00:00,,technical
TKT-33020977,ACC-070,API v2 access,high,resolved,2025-06-13T14:00:00,2025-06-17T01:00:00,feature_request
TKT-33a66904,ACC-070,Billing cycle question,low,resolved,2025-06-19T14:00:00,2025-06-19T17:00:00,billing
TKT-a4182f8a,ACC-070,Rate limiting issue,medium,resolved,2025-06-06T14:00:00,2025-06-09T09:00:00,technical
TKT-1ac4654f,ACC-071,Incorrect invoice amount,medium,resolved,2025-05-29T14:00:00,2025-06-04T00:00:00,billing
TKT-b31b85c4,ACC-071,Team training request,high,resolved,2025-06-07T14:00:00,2025-06-12T13:00:00,onboarding
TKT-5da7ad27,ACC-071,Rate limiting issue,low,resolved,2025-05-13T14:00:00,2025-05-17T02:00:00,technical
TKT-280c3619,ACC-072,Data duplication in reports,high,open,2025-06-21T14:00:00,,bug
TKT-194c5520,ACC-073,Migration assistance,critical,resolved,2025-06-13T14:00:00,2025-06-17T16:00:00,onboarding
TKT-54ef140d,ACC-073,Data sync failure,medium,open,2025-06-15T14:00:00,,technical
TKT-2bcd349d,ACC-073,Bulk export capability,medium,open,2025-06-20T14:00:00,,feature_request
TKT-22ab6127,ACC-075,Missing overage charges,high,open,2025-05-12T14:00:00,,billing
TKT-c9bda347,ACC-076,Export file corrupted,medium,resolved,2025-06-12T14:00:00,2025-06-16T04:00:00,bug
TKT-aa4fb3aa,ACC-076,Documentation question,medium,resolved,2025-04-30T14:00:00,2025-05-06T16:00:00,onboarding
TKT-08744603,ACC-076,Incorrect usage metrics,medium,resolved,2025-05-08T14:00:00,2025-05-14T17:00:00,bug
TKT-759304c1,ACC-077,Incorrect usage metrics,low,in_progress,2025-05-02T14:00:00,,bug
TKT-4e30177a,ACC-077,Authentication error,medium,in_progress,2025-07-08T14:00:00,,technical
TKT-a0ce1134,ACC-077,API latency spike,medium,open,2025-07-01T14:00:00,,technical
TKT-3da19f0f,ACC-077,Data duplication in reports,low,resolved,2025-06-16T14:00:00,2025-06-19T16:00:00,bug
TKT-281dbc48,ACC-079,Rate limiting issue,medium,resolved,2025-06-12T14:00:00,2025-06-16T05:00:00,technical
TKT-d97a1d9c,ACC-079,Payment processing issue,medium,in_progress,2025-05-14T14:00:00,,billing
TKT-51fbd3a8,ACC-080,Incorrect invoice amount,high,resolved,2025-06-19T14:00:00,2025-06-21T05:00:00,billing
TKT-48c86dc1,ACC-081,Documentation question,medium,resolved,2025-05-05T14:00:00,2025-05-07T18:00:00,onboarding
TKT-3c53c133,ACC-081,Data sync failure,high,open,2025-06-03T14:00:00,,technical
TKT-8b73d7de,ACC-081,Bulk export capability,medium,resolved,2025-07-04T14:00:00,2025-07-08T09:00:00,feature_request
TKT-1857e44f,ACC-082,Incorrect usage metrics,low,open,2025-05-23T14:00:00,,bug
TKT-4d860850,ACC-082,Data duplication in reports,low,resolved,2025-05-27T14:00:00,2025-05-28T01:00:00,bug
TKT-2e4fffd2,ACC-083,API v2 access,medium,open,2025-05-13T14:00:00,,feature_request
TKT-8f092fc9,ACC-084,Rate limiting issue,medium,in_progress,2025-05-06T14:00:00,,technical
TKT-23972833,ACC-084,Migration assistance,medium,resolved,2025-05-25T14:00:00,2025-05-29T13:00:00,onboarding
TKT-6cde5227,ACC-084,Payment processing issue,high,resolved,2025-06-19T14:00:00,2025-06-22T04:00:00,billing
TKT-b87766b6,ACC-085,Dashboard not loading,low,in_progress,2025-05-03T14:00:00,,bug
TKT-c82a0b8c,ACC-086,SSO integration,low,resolved,2025-05-08T14:00:00,2025-05-13T10:00:00,feature_request
TKT-dcfe9659,ACC-087,Rate limiting issue,high,in_progress,2025-06-01T14:00:00,,technical
TKT-83b67cd3,ACC-087,Data sync failure,critical,resolved,2025-05-08T14:00:00,2025-05-09T21:00:00,technical
TKT-cd12de3e,ACC-087,Billing cycle question,high,resolved,2025-06-02T14:00:00,2025-06-08T17:00:00,billing
TKT-7178ae8e,ACC-087,Export file corrupted,critical,open,2025-06-02T14:00:00,,bug
TKT-f1479e30,ACC-087,Data duplication in reports,high,resolved,2025-04-30T14:00:00,2025-05-03T00:00:00,bug
TKT-8e95ee58,ACC-087,Data duplication in reports,high,resolved,2025-04-29T14:00:00,2025-05-01T08:00:00,bug
TKT-10bd8b1a,ACC-087,Billing cycle question,high,resolved,2025-05-21T14:00:00,2025-05-24T02:00:00,billing
TKT-2dfb6bfe,ACC-087,Data duplication in reports,critical,resolved,2025-05-17T14:00:00,2025-05-23T18:00:00,bug
TKT-72c22cc9,ACC-087,Dashboard not loading,critical,resolved,2025-05-25T14:00:00,2025-05-26T00:00:00,bug
TKT-ac20d682,ACC-087,Rate limiting issue,high,resolved,2025-06-03T14:00:00,2025-06-08T21:00:00,technical
TKT-a123bab7,ACC-087,Data sync failure,medium,open,2025-07-07T14:00:00,,technical
TKT-27d871fe,ACC-088,Billing cycle question,high,resolved,2025-06-02T14:00:00,2025-06-04T23:00:00,billing
TKT-fb3123cd,ACC-088,Bulk export capability,medium,in_progress,2025-04-28T14:00:00,,feature_request
TKT-341771d9,ACC-089,Custom dashboard request,low,resolved,2025-05-01T14:00:00,2025-05-03T22:00:00,feature_request
TKT-becbf5a6,ACC-090,Bulk export capability,medium,open,2025-06-07T14:00:00,,feature_request
TKT-a161dfa8,ACC-090,Billing cycle question,high,resolved,2025-06-06T14:00:00,2025-06-08T05:00:00,billing
TKT-8db52909,ACC-090,API latency spike,low,resolved,2025-05-16T14:00:00,2025-05-23T07:00:00,technical
TKT-c4fc10eb,ACC-090,Billing cycle question,medium,resolved,2025-04-29T14:00:00,2025-05-05T10:00:00,billing
TKT-89c3bcba,ACC-091,SSO integration,medium,resolved,2025-06-30T14:00:00,2025-07-03T22:00:00,feature_request
TKT-852cc28a,ACC-091,Rate limiting issue,high,in_progress,2025-06-12T14:00:00,,technical
TKT-73680cb8,ACC-091,Team training request,medium,resolved,2025-04-30T14:00:00,2025-05-01T18:00:00,onboarding
TKT-0ae694a0,ACC-092,Custom dashboard request,critical,resolved,2025-06-19T14:00:00,2025-06-25T03:00:00,feature_request
TKT-739cca2f,ACC-092,Rate limiting issue,medium,resolved,2025-05-11T14:00:00,2025-05-15T11:00:00,technical
TKT-c2c51ea0,ACC-092,Documentation question,medium,resolved,2025-05-31T14:00:00,2025-06-06T23:00:00,onboarding
TKT-23218779,ACC-092,Data sync failure,medium,resolved,2025-05-06T14:00:00,2025-05-09T14:00:00,technical
TKT-f302cc21,ACC-093,SSO integration,medium,in_progress,2025-04-28T14:00:00,,feature_request
TKT-0aa822d4,ACC-094,Data sync failure,low,resolved,2025-05-07T14:00:00,2025-05-09T03:00:00,technical
TKT-c0ef20ee,ACC-094,Payment processing issue,medium,resolved,2025-06-07T14:00:00,2025-06-10T15:00:00,billing
TKT-d678d5a5,ACC-094,API latency spike,low,resolved,2025-04-28T14:00:00,2025-05-02T21:00:00,technical
TKT-fc1613c5,ACC-095,API latency spike,high,resolved,2025-05-26T14:00:00,2025-06-02T12:00:00,technical
TKT-e3ec446c,ACC-095,Data sync failure,high,open,2025-04-27T14:00:00,,technical
TKT-66e4780e,ACC-095,Team training request,high,in_progress,2025-05-11T14:00:00,,onboarding
TKT-f3ba2741,ACC-095,Data duplication in reports,critical,resolved,2025-07-08T14:00:00,2025-07-13T14:00:00,bug
TKT-3cc8f647,ACC-095,Rate limiting issue,medium,resolved,2025-06-11T14:00:00,2025-06-12T13:00:00,technical
TKT-5742eb18,ACC-095,Dashboard not loading,high,open,2025-06-02T14:00:00,,bug
TKT-33ef35bb,ACC-095,Authentication error,critical,resolved,2025-05-17T14:00:00,2025-05-22T07:00:00,technical
TKT-bc1d16c5,ACC-095,Rate limiting issue,high,open,2025-05-27T14:00:00,,technical
TKT-f310b658,ACC-096,Payment processing issue,high,open,2025-06-08T14:00:00,,billing
TKT-294b9b17,ACC-096,Team training request,high,open,2025-06-02T14:00:00,,onboarding
TKT-9830d21b,ACC-096,Custom dashboard request,low,resolved,2025-05-11T14:00:00,2025-05-12T07:00:00,feature_request
TKT-d4026936,ACC-097,Team training request,medium,in_progress,2025-05-07T14:00:00,,onboarding
TKT-7ede1045,ACC-097,API latency spike,low,resolved,2025-06-30T14:00:00,2025-07-01T18:00:00,technical
TKT-6f9cec63,ACC-100,Missing overage charges,medium,resolved,2025-05-29T14:00:00,2025-06-01T13:00:00,billing
TKT-e05036d2,ACC-100,Migration assistance,low,in_progress,2025-06-23T14:00:00,,onboarding
